被评论的商品ID,被评论的商品类别,评论账号,评论人的URL,评论内容,评论地点,评论时间,评论URL,评论来源,标签,采集日期,评价
NULL,NULL,小***儿,NULL,总体来说不错 很适合情侣去 就是服务真的有待提高 话说吃饭真心便宜 而且性价比高,NULL,2015-04-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,张***公,NULL,环境很满意就是太偏僻，没有车太不方便了,NULL,2015-04-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***0,NULL,满意 满意 满意 满意 满意 满意,NULL,2015-04-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,天***3,NULL,不错，非常好，儿子很喜欢，已经去了很多次了，明天又要去了,NULL,2015-04-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,粉***蕾,NULL,里面住宿的服务挺好的，就是团购接电话的那个男的态度超级不好，讨厌,NULL,2015-04-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,y***0,NULL,我觉得有一种被欺骗的感觉…啊哈哈哈,NULL,2015-04-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,還不錯啦，房間很大，但溫泉水不太像是真的溫泉，味道比較淡,NULL,2015-03-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***m,NULL,还可以，适合情侣去的好地方，还送蜡烛。,NULL,2015-03-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,迎***猫,NULL,很不错哦，这次很满意，以后有机会还来,NULL,2015-03-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,j***3,NULL,整体上还算满意，送的三选一没有红酒，只有一次游泳和一晚住房有用～ 情绪神马的还是看自己啦～,NULL,2015-03-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,X***6,NULL,人少，冷清，餐厅少，上菜慢。。,NULL,2015-03-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***0,NULL,根本就不是温泉，就是泡热水澡，没什么人,NULL,2015-03-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,j***i,NULL,不错哦下次还去 带情人去更爽 不错不错,NULL,2015-03-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,n***1,NULL,床单都不带换的，环境不错，但卫生太差了，床上都有臭脚丫子味儿！头疼熏的,NULL,2015-02-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,还算比较不错的一次体验～～～就是人好少…游完泳快饿扁了的时候发现超市关门了，不想在走了，回房间发现…订餐只能9掉30之后………,NULL,2015-02-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,f***o,NULL,总体很好，前台服务态度也很好，但768的团购感觉不太值,NULL,2015-02-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,p***3,NULL,池子很小 不像是温泉水 没有臭鸡蛋味儿,NULL,2015-02-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,成***2,NULL,比较适合带父母去，房间大，设施健全，中式装修也比较符合老人标准，可惜这就得太快，有些客人就是不知道洁身自爱，在房间里抽烟，开窗放很久也放不净烟味,NULL,2015-02-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,j***7,NULL,比较方便，送很多东西，红酒，玫瑰花瓣……,NULL,2015-02-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,一***城,NULL,一般，房间温泉是马赛克的，情侣套房还不如去情侣酒店泡温泉，,NULL,2015-02-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,嘴***猪,NULL,帮朋友定的，据说环境很好，房间也很干净！还会考虑再去的！,NULL,2015-01-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,飘***6,NULL,不开车的话有点不方便，可以地铁到天通苑北，然后打车过去。房间条件不错，服务一般,NULL,2015-01-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,沿***食,NULL,说好的赠品呢？！前台服务太差 有点房间不好 需要去挑 换的时候特别费劲 套餐里的赠品一个没给 懒得说了 一年不如一年～,NULL,2015-01-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***r,NULL,交通不是太方便，最好开车，餐厅价格偏高，还加收服务费，没敢多点菜，房价订餐更贵，因此最好自带零食水果。30元办了会员卡，餐厅免了服务费，还另打9折，所有娱乐项目半价（其实也没啥），下次私汤房间可以半价，比团购还便宜。,NULL,2015-01-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,刘***红,NULL,房间水是温的～给换了其它房间～又是电视遥控没电～服务员态度很好～来回跑解决问题～就是这房间设施能不能检修好～换来换去折腾到九十点了～没能泡多久～,NULL,2015-01-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,x***e,NULL,房间还是不错的 位置也挺好的 下次还可以再来,NULL,2015-01-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,e***a,NULL,骗子，其实就是一个洗澡堂子，原来高官用的炮房，根本和九华是两个地方。,NULL,2015-01-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,天***火,NULL,服务很好位置不是很远就是写的两点前都有送餐过了十二点打电话就送不了了,NULL,2015-01-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,睡***咩,NULL,团购的，还可以，周末也可用，房间挺大，但是被子上有根头发，口杯少一个，后来又通知服务员补上，被子换了，私汤不限次数，可劲儿泡，还送了牛奶精，玫瑰精，花瓣儿，一瓶红酒，有点儿高大上，但是房间是双床，据他们说团购都这样，不知是不是托词懒得给我能换大床了，也就凑合了 团购的，还可以，周末也可用，房间挺大，但是被子上有根头发，口杯少一个，后来又通知服务员补上，被子换了，私汤不限次数，可劲儿泡，还送了牛奶精，玫瑰精，花瓣儿，一瓶红酒，有点儿高大上，但是房间是双床，据他们说团购都这样，不知是不是托词懒得给我能...展开全部,NULL,2015-01-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***1,NULL,整体感觉还不错，温泉水很热，只是屋内的温度不是很高,NULL,2015-01-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,H***a,NULL,刚预定完，被告知没有大床房了。不知是不是跟小伙伴们说的一样只给预定标间。红酒也说没有库存了。还没去，不知环境如何。等稍后再补充吧。,NULL,2015-01-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,南***方,NULL,说说这次消费这事吧，弄得人十分窝心：1、首先，你团购网站688元，去到店里后，前台服务员说房价原价只要1240，现在花30办张会员卡，就能5折入住，等于我620就能住了，你团购网站的价格居然比人实际价格还贵出60多，原价你还标1700多，你这不是骗人吗？你这还是团购吗！2、我预定之前再三确认预定是否成功，接线的人说成功了没问题，结果那天去了之后在前台办理入住，前台告诉我没有我的登记信息，然后我又各种给团购网站下面的留的联系方式打电话，他们又各种查和联系，告诉我说把我名字漏掉了，没有预定上…整个他们的沟通过程大概半小时，我就在大厅等了半小时。3、再说说后来退房的事，规定下午2点后退房，我那会在大厅吃饭，吃完饭在门口买了两盒草莓，然后大概3点多点我回酒店，发现门卡已经给我锁了，跑到前台问怎么回事，她说我超出了退房时间，要收我半天房费。入住的时候只说了两点后退房，但并没规定具体几点吧，就算我超时，中间没有任何人给我打过一个电话通知我，就把我房门锁了，还让我交半天房费，你们这是疯了吧！诺大的酒店，管理和服务如此差劲，以后再也不会去了！ 说说这次消费这事吧，弄得人十分窝心：1、首先，你团购网站688元，去到店里后，前台服务员说房价原价只要1240，现在花30办张会员卡，就能5折入住，等于我620就能住了，你团购网站的价格居然比人实际价格还贵出60多，原价你还标1700多，你...展开全部,NULL,2015-01-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Y***7,NULL,房间很舒服 情侣私汤棒极了！很惬意 真心不错 以后还会去！,NULL,2015-01-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***5,NULL,好，私汤跟开水一样，很烫，。。。,NULL,2015-01-10,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,A***7,NULL,挺干净的地方，服务也不错，孩子喜欢,NULL,2015-01-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***4,NULL,房间很大 双床 比较舒适 但是酒店太干,NULL,2015-01-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,潘***彤,NULL,房间不太对劲，阴气很重，不会再去了。,NULL,2015-01-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,D***d,NULL,比较满意，服务很好！位置较偏僻，门口的路不好走。,NULL,2015-01-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***l,NULL,挺不错的，只是送的牛奶浴居然是两袋泡足液！,NULL,2015-01-01,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,环境很好，服务也很好，在室内不冷挺好的…,NULL,2014-12-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,3***6,NULL,还行 住的标间 地方不太好找 去了老九华兜了一圈,NULL,2014-12-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,x***6,NULL,挺好的房间干净整齐 私汤干净卫生 还会再去,NULL,2014-12-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,水***岚,NULL,挺好找的，安静舒适，适合避开城市的喧嚣，餐馆要收服务费，东西偏贵,NULL,2014-12-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,贫***谱,NULL,房间不错，休闲娱乐项目很少，而且有好多地方不开门。,NULL,2014-12-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,还没去，但是已经验证了，所以就先来评价了！,NULL,2014-12-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***青,NULL,环境优美，感觉特别好，只是觉得不像温泉，像锅炉水,NULL,2014-12-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,白***启,NULL,服务好，室内温泉水不限，环境也不错，离九华山庄近,NULL,2014-12-10,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,绝***5,NULL,没有想象的好 环境不错 周围没什么玩的 吃的也很少 温泉应该就是热水而已,NULL,2014-12-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,芥***团,NULL,室内私汤还不错，水很好，环境也好，就是感觉很冷清的样子送的蜡烛也是晚上点以后统一送到房间的，前面也有人说了，带点吃的比较好,NULL,2014-12-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,房间还行 就是服务很墨迹....说好的随便放水 后来还是没有了！,NULL,2014-12-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,年***陀,NULL,不错哦，房间很大，幸好选了室内温泉,NULL,2014-12-01,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***2,NULL,哇塞！好方便！就自己可以泡！真的很不错！下回还来玩,NULL,2014-11-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***6,NULL,非常不错，人少环境好，最好自带一些零食，电视可以与电脑连接…,NULL,2014-11-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,仔***君,NULL,高大尚！哈哈哈 总之就是很好也很干净 价格还可以接受！有机会还会来！,NULL,2014-11-10,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,风***舞,NULL,室内温泉很给力！环境也很好！吃完泡澡直接睡觉很棒哦！期待室外温泉早点开放！,NULL,2014-11-09,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,麻***丙,NULL,房间还是很不错的，也是温泉水，但5星酒店竟然没有一次性拖鞋，着实不爽，怕万一消毒不严有脚气啊,NULL,2014-11-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8343783&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,1***8,NULL,房间太旧了，也没有什么服务员，饭菜味道一般，比山吧明显差一个档次,NULL,2015-04-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11272506&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***5,NULL,真的很不错 对于这样的价钱 简直是赚到了,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,心***忆,NULL,还可以，倒是很超值。人不多，水质一般，客房设施老,NULL,2015-04-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,好***贝,NULL,天冷！让父母去泡泡！他们感觉不错！,NULL,2015-04-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,H***8,NULL,带着孩子和老人去的，总体满意，毕竟价位便宜，198元连住宿带泡汤，还有早餐，非常便宜了。不足的是，就是酒店设施比较旧，个别温泉池不干净，不能使用温泉配备的换衣室换衣服和淋浴，但是这些都是可以克服的，价位在这摆着，追求性价比高，来这里可以的。,NULL,2015-04-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,环境还行！很舒适，温馨！可以推荐给朋友！,NULL,2015-04-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,刘***2,NULL,今晚很静 独耍 离家近 方便 推荐来 赞,NULL,2015-04-01,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,8***2,NULL,价格合理，交通方便，房间很大，舒适，说实话部分温泉设施没有开放，小遗憾！总体不错,NULL,2015-03-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,薇***牛,NULL,不错！就是设备简陋吧！但是价钱便宜也可以接受啦！,NULL,2015-03-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,晶***5,NULL,环境 效果 和价位相辅相成 服务估计找您钱您都不愿意过来生气,NULL,2015-03-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,h***n,NULL,我和我朋友经常来 环境非常不错 泡温泉非常舒服,NULL,2015-03-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,好好好好好好好好好好好好好好好好好好好好,NULL,2015-03-09,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,k***r,NULL,标间不错，跟别人换了大床房，大床房明显比标间差,NULL,2015-02-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,可***可,NULL,泡温泉加住宿很便宜。温泉池子有点少，好多池子是刚弄好的，还没开放，设施不算齐全，不过就这个价格而言，算是便宜实惠的了。房间有点小，设施比较陈旧。总体还算凑合。,NULL,2015-02-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,云***游,NULL,这次人多了不少呀，人多自然水就偏脏！,NULL,2015-02-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,晶***5,NULL,来得正合适新换的水 什么颜色的水的颜色都有,NULL,2015-02-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,f***n,NULL,北京周边非常便宜的温泉酒店。198元平日标间一间，含2人温泉票，2人早餐。价格太诱人了！以后会经常光顾的。,NULL,2015-02-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,比较实惠的温泉酒店，住宿的同时还能泡温泉，就是酒店的餐饮稍微差点。,NULL,2015-02-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,天***8,NULL,房间破旧，温泉不全开，不怎么样,NULL,2015-02-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,好***贝,NULL,除了走廊温度有点低以外 其他都挺好的！价格在这呢 就不能要求太高！,NULL,2015-02-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,很愉快的一次度假！有时间在去休息,NULL,2015-02-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,e***8,NULL,价格不贵，所以不能要求太高，平时人不多，早餐还行，房间卫生不好，温泉水不干净，尤其儿童池旁边那个,NULL,2015-02-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***8,NULL,经济实惠 适合全家出行 性价比高,NULL,2015-02-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,两人198还能过夜 挺划算的。酒店环境不错 温泉有些没开 有的有漂浮物。泡完很舒服,NULL,2015-02-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,R***r,NULL,客房设施略旧卫生间没有排风，隔音效果非常差，服务员回复很快，从房间走到温泉比较冷。,NULL,2015-02-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,8***蜓,NULL,通州比较方便的温泉酒店，便捷亲切。,NULL,2015-02-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,h***n,NULL,环境好 ，干净，享受，是冬季必去之地,NULL,2015-02-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,不错，还算满意，温泉的环境特好，特舒服。就是宾馆的房间有点烂，便宜也就勉强说的过去吧,NULL,2015-01-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,梦***0,NULL,还不错，平日去的，人不是很多。,NULL,2015-01-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,宝***1,NULL,整体感觉好不错温泉池子来的不是很多,NULL,2015-01-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,好好好好好好好好好好好好好好好,NULL,2015-01-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,好好好好好好好好好好好好好好好好好好好,NULL,2015-01-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,我***林,NULL,不错挺好的，下次还会去，服务也很好，值得去，吃的也不错嘛！,NULL,2015-01-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,白***刺,NULL,温泉看着不太干净，晚上还好一点，总体还不错吧，很值。,NULL,2015-01-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,R***e,NULL,没之前开的池子多 没太高要求还是可以的,NULL,2014-12-31,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,龟***呱,NULL,因为价格公道，所以经常来玩。温泉干净，房间舒适，太满意了！,NULL,2014-12-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,宗***乐,NULL,住的玩的都不错就是吃饭差点意思,NULL,2014-12-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,不***瓜,NULL,挺不错的，一直都忘了点评，非周末去的，人特别少，温泉水很干净，住宿条件也还行，要求不高的就完全没有问题噢！,NULL,2014-12-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,就***转,NULL,经济型酒店而已，不能报太大期望，差不多就好,NULL,2014-12-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8478629&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,到北京很愉快！,NULL,2015-04-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=319029&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,旅行十分愉快，特别划算，讲解的很详细，不错的选择！！！！！,NULL,2015-04-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=319029&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
